tc,sc,time,file,label
15.0,12.0,0.001740708,rochester_53_10_0_pABC.txt,EinExprs (MF)
19.0,15.0,0.006460083,rochester_53_12_0_pABC.txt,CoTenGra
20.0,15.0,0.21483975,rochester_53_12_0_pABC.txt,EinExprs (Greedy)
19.0,15.0,0.002003167,rochester_53_12_0_pABC.txt,EinExprs (MF)
30.0,21.0,0.008109417,rochester_53_16_0_pABC.txt,CoTenGra
26.0,19.0,0.366991459,rochester_53_16_0_pABC.txt,EinExprs (Greedy)
27.0,20.0,0.002831458,rochester_53_16_0_pABC.txt,EinExprs (MF)
35.0,27.0,0.010133042,rochester_53_20_0_pABC.txt,CoTenGra
36.0,25.0,0.551117916,rochester_53_20_0_pABC.txt,EinExprs (Greedy)
33.0,25.0,0.003728459,rochester_53_20_0_pABC.txt,EinExprs (MF)
6.0,5.0,0.002417833,rochester_53_4_0_pABC.txt,CoTenGra
5.0,4.0,0.035050708,rochester_53_4_0_pABC.txt,EinExprs (Greedy)
5.0,4.0,0.000644833,rochester_53_4_0_pABC.txt,EinExprs (MF)
12.0,9.0,0.004245,rochester_53_8_0_pABC.txt,CoTenGra
12.0,8.0,0.107122125,rochester_53_8_0_pABC.txt,EinExprs (Greedy)
11.0,9.0,0.001281875,rochester_53_8_0_pABC.txt,EinExprs (MF)
41.0,29.000000000000004,0.01039675,sycamore_53_10_0.txt,CoTenGra
39.0,28.0,0.56792675,sycamore_53_10_0.txt,EinExprs (Greedy)
39.0,36.0,0.004116583,sycamore_53_10_0.txt,EinExprs (MF)
56.0,40.0,0.012634792,sycamore_53_12_0.txt,CoTenGra
63.0,45.0,0.783779041,sycamore_53_12_0.txt,EinExprs (Greedy)
57.0,56.0,0.005681291,sycamore_53_12_0.txt,EinExprs (MF)
61.0,44.0,0.014562667,sycamore_53_14_0.txt,CoTenGra
82.0,67.0,1.030149834,sycamore_53_14_0.txt,EinExprs (Greedy)
62.0,56.0,0.006512875,sycamore_53_14_0.txt,EinExprs (MF)
77.0,54.0,0.016733833,sycamore_53_16_0.txt,CoTenGra
97.0,84.0,1.294864792,sycamore_53_16_0.txt,EinExprs (Greedy)
73.0,71.0,0.008411083,sycamore_53_16_0.txt,EinExprs (MF)
76.0,57.0,0.018940792,sycamore_53_18_0.txt,CoTenGra
87.0,73.0,1.608515292,sycamore_53_18_0.txt,EinExprs (Greedy)
83.0,73.0,0.009247625,sycamore_53_18_0.txt,EinExprs (MF)
79.0,59.00000000000001,0.021279958,sycamore_53_20_0.txt,CoTenGra
123.0,110.0,1.987281042,sycamore_53_20_0.txt,EinExprs (Greedy)
85.0,80.0,0.010874917,sycamore_53_20_0.txt,EinExprs (MF)
14.0,10.0,0.004576458,sycamore_53_4_0.txt,CoTenGra
13.0,10.0,0.11355775,sycamore_53_4_0.txt,EinExprs (Greedy)
14.0,13.0,0.0013545,sycamore_53_4_0.txt,EinExprs (MF)
18.0,13.0,0.005388875,sycamore_53_5_0.txt,CoTenGra
18.0,13.0,0.167930416,sycamore_53_5_0.txt,EinExprs (Greedy)
17.0,17.0,0.001802125,sycamore_53_5_0.txt,EinExprs (MF)
19.0,13.0,0.006293125,sycamore_53_6_0.txt,CoTenGra
19.0,13.0,0.208808208,sycamore_53_6_0.txt,EinExprs (Greedy)
20.0,18.0,0.002141875,sycamore_53_6_0.txt,EinExprs (MF)
38.0,28.0,0.0084455,sycamore_53_8_0.txt,CoTenGra
36.0,26.0,0.372070083,sycamore_53_8_0.txt,EinExprs (Greedy)
33.0,32.0,0.003314583,sycamore_53_8_0.txt,EinExprs (MF)
