tc,sc,time,file,label
18.0,15.0,12.679789292,rochester_53_12_0_pABC.txt,EinExprs (KaHyPar)
18.0,14.0,0.804366,rochester_53_12_0_pABC.txt,EinExprs (METIS)
25.0,20.0,28.139778959,rochester_53_16_0_pABC.txt,CoTenGra
22.0,18.0,21.452175916,rochester_53_16_0_pABC.txt,EinExprs (KaHyPar)
23.0,19.0,1.278521,rochester_53_16_0_pABC.txt,EinExprs (METIS)
32.0,26.0,35.739508459,rochester_53_20_0_pABC.txt,CoTenGra
28.0,22.0,31.973288334,rochester_53_20_0_pABC.txt,EinExprs (KaHyPar)
27.0,23.0,1.778135959,rochester_53_20_0_pABC.txt,EinExprs (METIS)
5.0,4.0,3.668996666,rochester_53_4_0_pABC.txt,CoTenGra
5.0,5.0,0.189172792,rochester_53_4_0_pABC.txt,EinExprs (KaHyPar)
5.0,5.0,0.182740542,rochester_53_4_0_pABC.txt,EinExprs (METIS)
11.0,9.0,6.136755708,rochester_53_8_0_pABC.txt,CoTenGra
11.0,9.0,5.126320958,rochester_53_8_0_pABC.txt,EinExprs (KaHyPar)
11.0,10.0,0.435391709,rochester_53_8_0_pABC.txt,EinExprs (METIS)
35.0,26.0,37.460051666,sycamore_53_10_0.txt,CoTenGra
33.0,27.0,17.213532917,sycamore_53_10_0.txt,EinExprs (KaHyPar)
34.0,30.0,1.70807575,sycamore_53_10_0.txt,EinExprs (METIS)
50.0,38.0,61.213450083,sycamore_53_12_0.txt,CoTenGra
47.0,42.0,26.011112958,sycamore_53_12_0.txt,EinExprs (KaHyPar)
47.0,38.0,2.630039125,sycamore_53_12_0.txt,EinExprs (METIS)
54.0,41.0,61.522758291,sycamore_53_14_0.txt,CoTenGra
52.0,46.0,32.017856791,sycamore_53_14_0.txt,EinExprs (KaHyPar)
50.0,40.0,3.073208375,sycamore_53_14_0.txt,EinExprs (METIS)
63.0,53.0,72.825228834,sycamore_53_16_0.txt,CoTenGra
62.0,48.0,41.827032041,sycamore_53_16_0.txt,EinExprs (KaHyPar)
60.0,51.0,4.5336665,sycamore_53_16_0.txt,EinExprs (METIS)
69.0,52.0,94.374236167,sycamore_53_18_0.txt,CoTenGra
68.0,60.0,46.232280083,sycamore_53_18_0.txt,EinExprs (KaHyPar)
65.0,54.0,4.913373334,sycamore_53_18_0.txt,EinExprs (METIS)
73.0,57.0,86.228589667,sycamore_53_20_0.txt,CoTenGra
71.0,67.0,54.572831,sycamore_53_20_0.txt,EinExprs (KaHyPar)
65.0,55.0,6.328272709,sycamore_53_20_0.txt,EinExprs (METIS)
14.0,10.0,11.04386325,sycamore_53_4_0.txt,CoTenGra
16.0,16.0,0.409011125,sycamore_53_4_0.txt,EinExprs (KaHyPar)
16.0,16.0,0.369711583,sycamore_53_4_0.txt,EinExprs (METIS)
15.0,12.0,9.25354075,sycamore_53_5_0.txt,CoTenGra
16.0,13.0,3.040561583,sycamore_53_5_0.txt,EinExprs (KaHyPar)
17.0,12.0,0.568920958,sycamore_53_5_0.txt,EinExprs (METIS)
17.0,13.0,9.068038458,sycamore_53_6_0.txt,CoTenGra
17.0,13.0,5.571920416,sycamore_53_6_0.txt,EinExprs (KaHyPar)
17.0,13.0,0.731445458,sycamore_53_6_0.txt,EinExprs (METIS)
31.0,23.0,27.852210084,sycamore_53_8_0.txt,CoTenGra
30.0,24.0,12.255519833,sycamore_53_8_0.txt,EinExprs (KaHyPar)
31.0,28.0,1.27331475,sycamore_53_8_0.txt,EinExprs (METIS)
